[2020-07-01 15:48:28] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-07-01 15:48:28] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-07-01 15:48:28] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-07-01 15:48:29] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/kiem-tra-gia
[2020-07-01 15:48:29] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-07-01 15:49:20] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/thach-thanh.html
[2020-07-01 15:49:22] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-07-01 15:49:22] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
p
[2020-07-01 15:49:25] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-07-01 15:49:25] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/kiem-tra-gia
[2020-07-01 15:49:26] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-07-01 15:51:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/thach-thanh.html
[2020-07-01 15:51:22] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/thach-thanh.html
[2020-07-01 15:51:25] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-07-01 15:51:25] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-07-01 15:51:25] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
